what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320662507491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320663311553
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1320663312725
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1320663316163
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320663333631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320663401522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320663407006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320663407350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320663407850
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320663472881
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320663480053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320663496366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320663662944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320663664663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320663668225
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1320663668866
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320663672428
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1320663674022
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1320663677803
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320663707225
