what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320841869242
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1320841870586
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1320841874476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841878867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841897039
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320841897117
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320841902648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841906351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841907898
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320841907976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841910617
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320841919336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841919382
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320841919429
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1320841919539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841921289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841925367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841960679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841960726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841960773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841965570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841985851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320841993367
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320841996789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320842100382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320842131976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320842138367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320842145320
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320842145914
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1320842146804
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1320842146804
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1320842146804
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1320842146820
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1320842146820
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1320842146836
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1320842146836
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1320842146836
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1320842146836
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1320842146836
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1320842146836
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1320842146836
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1320842146836
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1320842146836
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1320842146836
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1320842146851
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1320842146851
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1320842146851
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1320842146851
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1320842146851
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1320842146851
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1320842146851
