what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1321020224190
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1321020226502
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1321020228815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020244127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020354815
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1321020356143
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321020356190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321020357331
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1321020360174
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1321020371690
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321020371721
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1321020381893
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1321020383002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020390362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020390393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020390456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321020499549
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1321020501627
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321020501674
